Drive ID,Recording ID,Start (UTC),End (UTC),Latitude NMEA,Longitude NMEA,Day/Night,Weather Conditions,Visibility,Temperature[°C],Humidity[%],Precipitation[mm],Wind Speed[km/h],PM_10[μg/m³],PM_25[μg/m³],CO[μg/m³],Dust[μg/m³]
1,1,14:03:30,14:03:47,5225.63,935.725,Day,Clear sky,24140,31.1,40,0,7,29.5,12.2,194,10
2,1,12:00:29,12:00:54,5225.55,936.857,Day,Overcast,23560,18.9,51,0,29.9,6.3,17.9,140,0
3,1,15:15:13,15:16:40,5225.2,936.619,Night,Partly cloudy,21140,-0.5,90,0,8.8,8,3.4,213,0
3,2,15:21:50,15:24:12,5225.2,936.712,Night,Partly cloudy,21140,-0.5,90,0,8.8,8,3.4,213,0
3,3,15:26:33,15:27:50,5225.34,937.08,Night,Partly cloudy,21140,-0.5,90,0,8.8,8,3.4,213,0
4,1,15:32:39,15:33:25,5225.27,935.751,Night,Partly cloudy,21140,-0.5,90,0,8.8,7.4,3.4,208,0
4,2,15:37:21,15:37:36,5225.17,936.203,Night,Partly cloudy,21140,-0.5,90,0,8.8,8,3.4,213,0
4,3,15:40:31,15:40:46,5225.16,936.881,Night,Partly cloudy,21140,-0.5,90,0,8.8,8,3.4,213,0
4,4,15:44:29,15:44:47,5225.61,936.982,Night,Partly cloudy,21140,-0.5,90,0,8.8,8,3.4,213,0
5,1,16:30:30,16:30:49,5225.17,937.008,Night,Partly cloudy,24140,-0.8,92,0,7.2,9.6,4,234,0
5,2,16:34:00,16:35:10,5225.25,935.801,Night,Partly cloudy,24140,-0.8,92,0,7.2,8.9,4,226,0
5,3,16:38:18,16:38:40,5225.21,935.848,Night,Partly cloudy,24140,-0.8,92,0,7.2,8.9,4,226,0
5,4,16:41:45,16:42:16,5225.15,936.895,Night,Partly cloudy,24140,-0.8,92,0,7.2,9.6,4,234,0
5,5,16:43:18,16:44:28,5224.79,937.294,Night,Partly cloudy,24140,-0.8,92,0,7.2,9.6,4,234,0
6,1,17:49:50,17:50:53,5224.76,937.365,Night,Overcast,24140,-1,91,0,9,18.4,10.4,265,0
6,2,18:09:44,18:10:19,5225.16,941.625,Night,Overcast,24140,-1.1,85,0,10.2,15.6,9.5,249,0
6,3,18:12:23,18:12:55,5224.92,942.088,Night,Overcast,24140,-1.1,85,0,10.2,15.9,9.5,257,0
6,4,18:19:14,18:20:25,5225.2,941.63,Night,Overcast,24140,-1.1,85,0,10.2,15.6,9.5,249,0
7,1,18:29:50,18:30:42,5224.87,938.584,Night,Overcast,24140,-1,86,0,12,15.6,9.5,249,0
7,2,18:34:47,18:36:39,5225.02,937.06,Night,Overcast,24140,-1.2,85,0,11.7,15.6,9.5,249,0
7,3,18:37:16,18:38:22,5225.19,937.039,Night,Overcast,24140,-1.2,85,0,11.7,15.6,9.5,249,0
7,4,18:39:59,18:40:35,5225.6,936.986,Night,Overcast,24140,-1.2,85,0,11.7,15.6,9.5,249,0